NodeID,X,Y,Z,Ux,Uy,Uz
1,-15.875,0.45,0,0,0,0
2,-69,0.45,0,0,0,0
3,-69,19.05,0,0,0,0
4,-15.875,19.05,0,0,0,0
5,-69,0.45,1,0,0,0
6,-69,19.05,1,0,0,0
7,-15.875,19.05,1,0,0,0
8,-15.875,0.45,1,0,0,0
9,15.875,0.45,1,0,0,0
10,69,0.45,1,0,0,0
11,69,19.05,1,0,0,0
12,15.875,19.05,1,0,0,0
13,69,0.45,0,0,0,0
14,69,19.05,0,0,0,0
15,15.875,19.05,0,0,0,0
16,15.875,0.45,0,0,0,0
17,2.24506,-16.8049,0,0,0,0
18,2.24506,-16.8049,1,0,0,0
19,0,-15.875,1,0,0,0
20,0,-15.875,0,0,0,0
21,0,0.45,1,0,0,0
22,0,0.45,0,0,0,0
23,0,-12.7,0,0,0,0
24,4.21984,-14.305,0,0,0,0
25,0,-9.525,0,0,0,0
26,6.19012,-11.8107,0,0,0,0
27,0,-6.35,0,0,0,0
28,8.15928,-9.31778,0,0,0,0
29,0,-12.7,1,0,0,0
30,4.21984,-14.305,1,0,0,0
31,6.19012,-11.8107,1,0,0,0
32,0,-9.525,1,0,0,0
33,8.15928,-9.31778,1,0,0,0
34,0,-6.35,1,0,0,0
35,-8.15928,-9.31778,1,0,0,0
36,-6.19012,-11.8107,1,0,0,0
37,-4.21984,-14.305,1,0,0,0
38,-2.24506,-16.8049,1,0,0,0
39,-8.15928,-9.31778,0,0,0,0
40,-6.19012,-11.8107,0,0,0,0
41,-4.21984,-14.305,0,0,0,0
42,-2.24506,-16.8049,0,0,0,0
43,3.175,-19.05,1,0,0,0
44,3.175,-19.05,0,0,0,0
45,6.35,-19.05,0,0,0,0
46,6.35,-19.05,1,0,0,0
47,9.525,-19.05,0,0,0,0
48,12.7,-19.05,0,0,0,0
49,15.875,-19.05,0,0,0,0
50,9.525,-19.05,1,0,0,0
51,12.7,-19.05,1,0,0,0
52,15.875,-19.05,1,0,0,0
53,0,19.05,0,0,0,0
54,0,19.05,1,0,0,0
55,69,-19.05,1,0,0,0
56,69,-19.05,0,0,0,0
57,-15.875,-19.05,1,0,0,0
58,-12.7,-19.05,1,0,0,0
59,-9.525,-19.05,1,0,0,0
60,-6.35,-19.05,1,0,0,0
61,-3.175,-19.05,1,0,0,0
62,-15.875,-19.05,0,0,0,0
63,-12.7,-19.05,0,0,0,0
64,-9.525,-19.05,0,0,0,0
65,-6.35,-19.05,0,0,0,0
66,-3.175,-19.05,0,0,0,0
67,-69,-19.05,0,0,0,0
68,-69,-19.05,1,0,0,0
69,-16.8774,0.45,0,0,0,0
70,-17.8797,0.45,0,0,0,0
71,-18.8821,0.45,0,0,0,0
72,-19.8844,0.45,0,0,0,0
73,-20.8868,0.45,0,0,0,0
74,-21.8892,0.45,0,0,0,0
75,-22.8915,0.45,0,0,0,0
76,-23.8939,0.45,0,0,0,0
77,-24.8962,0.45,0,0,0,0
78,-25.8986,0.45,0,0,0,0
79,-26.9009,0.45,0,0,0,0
80,-27.9033,0.45,0,0,0,0
81,-28.9057,0.45,0,0,0,0
82,-29.908,0.45,0,0,0,0
83,-30.9104,0.45,0,0,0,0
84,-31.9127,0.45,0,0,0,0
85,-32.9151,0.45,0,0,0,0
86,-33.9175,0.45,0,0,0,0
87,-34.9198,0.45,0,0,0,0
88,-35.9222,0.45,0,0,0,0
89,-36.9245,0.45,0,0,0,0
90,-37.9269,0.45,0,0,0,0
91,-38.9292,0.45,0,0,0,0
92,-39.9316,0.45,0,0,0,0
93,-40.934,0.45,0,0,0,0
94,-41.9363,0.45,0,0,0,0
95,-42.9387,0.45,0,0,0,0
96,-43.941,0.45,0,0,0,0
